iter	RMSE
0	42293.59249
1	39115.65742
2	35910.63404
3	33570.53944
4	31369.89114
5	29124.35963
6	27516.60163
7	25570.54113
8	23862.64426
9	22094.62474
10	20503.97558
11	19045.00446
12	17868.69977
13	17004.63434
14	15962.74441
15	15146.7552
16	14263.45138
17	13414.93864
18	12783.85085
19	12057.28141
20	11557.09167
21	11078.14709
22	10584.98075
23	10203.13071
24	9738.134675
25	9403.304516
26	9060.050678
27	8784.154745
28	8545.120656
29	8334.640679
30	8170.680574
31	7988.52043
32	7832.038715
33	7536.568828
34	7404.44023
35	7294.795398
36	7137.109275
37	7022.040363
38	6869.698831
39	6749.425755
40	6646.28366
41	6554.208513
42	6467.869365
43	6351.756861
44	6249.716166
45	6130.604227
46	6021.679415
47	5936.47056
48	5861.68931
49	5764.845498
